aoa,cl,cd,cm,valarezo
-5.0,-0.06052969466562219,-0.0015546709454919612,-0.11382807640382822,0.0
-4.5,-0.01877321014867151,-0.0013957509760463699,-0.11092646262080183,0.0
-4.0,0.02298684259110164,-0.0012268880447721007,-0.10800649417541204,0.0
-3.5,0.06474702513716417,-0.0010480424007750153,-0.1050690605183335,0.0
-3.0,0.10650389777440344,-0.0008591818310020408,-0.10211505642031346,0.0
-2.5,0.14825401992893528,-0.0006602816941059312,-0.09914538169961659,0.0
-2.0,0.18999395060873855,-0.0004513249490667758,-0.09616094094793043,0.0
-1.5,0.2317202488449543,-0.00023230217854943661,-0.09316264325481888,0.0
-1.0,0.2734294741337102,-3.2116069814201297e-06,-0.09015140193080487,0.0
-0.5,0.3151181868782912,0.00023594088666438386,-0.08712813422916561,0.0
0.0,0.35678294883151923,0.00048514176138942755,-0.08409376106653038,0.0
0.5,0.39842032353816836,0.0007443698119993787,-0.08104920674235919,0.0
1.0,0.44002687677727376,0.0010135961722457965,-0.07799539865739251,0.0
1.5,0.48159917700416055,0.0012927843232776665,-0.07493326703115552,0.0
2.0,0.523133795792047,0.0015818901074000082,-0.07186374461860552,0.0
2.5,0.5646273082730644,0.0018808617471281286,-0.06878776642600433,0.0
3.0,0.6060762935785251,0.0021896398695272065,-0.06570626942610729,0.0
3.5,0.6474773352782998,0.002508157535821738,-0.06262019227275138,0.0
4.0,0.688827021819131,0.0028363402762533567,-0.05953047501493317,0.0
4.5,0.7301219469617429,0.0031741061301662397,-0.05643805881046025,0.0
5.0,0.7713587102165753,0.0035213656912911114,-0.05334388563926526,0.0
5.5,0.8125339172780065,0.003878022158200785,-0.05024889801647006,0.0
6.0,0.8536441804568995,0.004243971389899724,-0.04715403870528646,0.0
6.5,0.8946861191113172,0.004619101966514265,-0.04406025042984136,0.0
7.0,0.9356563600752676,0.0050032952550380745,-0.040968475588013205,0.0
7.5,0.9765515380853232,0.005396425480094651,-0.0378796559643702,0.0
8.0,1.0173682962049537,0.005798359799662223,-0.03479473244329123,0.0
8.5,1.058103286246447,0.00620895838571647,-0.03171464472236522,0.0
9.0,1.0987531691902603,0.006628074509731699,-0.028640331026149542,1.0
9.5,1.1393146156016438,0.007055554632985217,-0.02557272782037748,1.0
10.0,1.1797843060444293,0.007491238501603315,-0.022512769526702288,1.0
10.5,1.2201589314917947,0.007934959246284401,-0.019461388238062562,1.0
11.0,1.2604351937339169,0.008386543486630272,-0.01641951343475805,1.0
11.5,1.3006098057823303,0.008845811440019344,-0.013388071701321625,1.0
12.0,1.3406794922708822,0.009312577034940487,-0.010367986444271043,1.0
12.5,1.3806409898531369,0.009786648028717997,-0.0073601776108320445,1.0
13.0,1.4204910475961174,0.010267826129544114,-0.004365561408712402,1.0
13.5,1.4602264273702181,0.010755907122735955,-0.0013850500270170306,1.0
14.0,1.4998439042352052,0.01125068100113191,0.0015804486416145158,1.0
14.5,1.5393402668221496,0.011751932099538592,0.004530031277560123,1.0
15.0,1.5787123177111728,0.012259439233138632,0.007462799409375981,1.0
15.5,1.6179568738049064,0.012772975839762127,0.01037785968747831,1.0
