mach,alpha,cl,cd,cm
0.2,0.86113,0.5994345217489866,0.0018148893758801515,-0.1322598229646849
0.25,0.760128,0.599466446714677,0.00170767251151093,-0.1344912686648994
0.3,0.697088,0.6001206697819587,0.0016805656978216663,-0.13596865942080344
0.35,0.593104,0.5997207931547877,0.001610965187277384,-0.13855250331902522
0.4,0.479104,0.5998047642849553,0.001520589794627604,-0.1414624272399693
0.45,0.343132,0.5998041174826462,0.0014551542282484093,-0.14514423765012557
0.5,0.183116,0.5997789292872692,0.0014015746950930834,-0.1497146928111047
0.55,0.003042,0.6003421936207548,0.0013348530198991674,-0.15549569287575216
0.6,0.232174,0.5995888837788889,0.00126370887514071,-0.16284467657357782
0.65,0.503201,0.599826133886215,0.001206333352545085,-0.1727212243636745
0.7,0.851715,0.6000162805698545,0.0011559831135219431,-0.18705205479254763
0.71,1.011901,0.6001737361301266,0.0010753847061019974,-0.1931975573020196
0.72,1.110297,0.5994956586771948,0.0013228667817249294,-0.19815057592301885
0.73,1.202972,0.6005333403308436,0.001443236750767872,-0.2032038735315406
0.74,1.3147,0.5999402004749027,0.0020882446917910406,-0.21039268855528165
0.75,1.433302,0.5994336191915367,0.0032267260929113102,-0.2198913985584378
0.76,1.56079,0.6003111491314049,0.0053215966680807015,-0.23400353949576916
0.77,1.701422,0.600554376061889,0.00877196785219152,-0.25184286154301927
0.78,1.834075,0.5999250241939976,0.013270185893450396,-0.2719144623945368
0.79,0.5,,,
0.8,2.5,,,
0.81,0.5,,,
0.82,0.5,,,
0.83,0.5,,,
0.84,0.5,,,
0.85,0.5,,,
